estacion,fecha,pm25_diario
Cerrillos,2028-09-20,18.09722222222222
Cerrillos,2028-10-20,10.180555555555555
Cerrillos,2028-11-20,12.291666666666666
Cerrillos,2028-12-20,15.916666666666666
Cerrillos,2029-01-20,12.536842105263158
Cerrillos,2029-02-20,23.791666666666668
Cerrillos,2029-03-20,18.01388888888889
Cerrillos,2029-04-20,34.604166666666664
Cerrillos,2029-05-20,32.61052631578947
Cerrillos,2029-06-20,31.75
Cerrillos,2029-07-20,51.69444444444444
Cerrillos,2029-08-20,19.291666666666668
Cerrillos,2029-09-20,10.333333333333334
Cerrillos,2029-10-20,11.083333333333334
Cerrillos,2029-11-20,10.166666666666666
Cerrillos,2029-12-20,11.95774647887324
Cerrillos,2030-01-20,13.5625
Cerrillos,2030-03-20,15.458333333333334
Cerrillos,2030-04-20,36.11290322580645
Cerrillos,2030-05-20,31.25
Cerrillos,2030-06-20,45.177083333333336
Cerrillos,2030-07-20,39.05555555555556
Cerrillos,2030-08-20,23.29850746268657
Cerrillos,2030-09-20,7.736111111111111
Cerrillos,2030-10-20,12.194444444444445
Cerrillos,2030-11-20,14.319444444444445
Cerrillos,2030-12-20,12.972222222222221
Cerrillos,2031-01-20,13.697916666666666
Cerrillos,2031-03-20,16.73611111111111
Cerrillos,2031-05-20,29.947916666666668
Cerrillos,2031-07-20,48.44444444444444
Cerrillos,2031-08-20,24.16176470588235
Cerrillos,2031-10-20,13.916666666666666
Cerrillos,2031-12-20,20.816901408450704
Cerro Navia,2001-01-20,17.37062937062937
Cerro Navia,2001-01-21,8.791666666666666
Cerro Navia,2001-02-20,16.77777777777778
Cerro Navia,2001-02-21,17.041666666666668
Cerro Navia,2001-03-20,17.92361111111111
Cerro Navia,2001-03-21,13.333333333333334
Cerro Navia,2001-04-20,25.608333333333334
Cerro Navia,2001-04-21,10.291666666666666
Cerro Navia,2001-05-20,47.826388888888886
Cerro Navia,2001-05-21,11.458333333333334
Cerro Navia,2001-06-20,52.388888888888886
Cerro Navia,2001-06-21,74.41666666666667
Cerro Navia,2001-07-20,49.583333333333336
Cerro Navia,2001-07-21,66.66666666666667
Cerro Navia,2001-08-20,54.854166666666664
Cerro Navia,2001-08-21,21.08695652173913
Cerro Navia,2001-09-20,29.694444444444443
Cerro Navia,2001-09-21,43.04347826086956
Cerro Navia,2001-10-20,15.229166666666666
Cerro Navia,2001-10-21,10
Cerro Navia,2001-11-20,15.965277777777779
Cerro Navia,2001-11-21,6.958333333333333
Cerro Navia,2001-12-20,15.025
Cerro Navia,2001-12-21,5.416666666666667
Cerro Navia,2002-01-20,13.79861111111111
Cerro Navia,2002-01-21,9.583333333333334
Cerro Navia,2002-02-20,18.604166666666668
Cerro Navia,2002-02-21,14.125
Cerro Navia,2002-03-20,18.72222222222222
Cerro Navia,2002-03-21,12.125
Cerro Navia,2002-04-20,29.305785123966942
Cerro Navia,2002-04-21,15.583333333333334
Cerro Navia,2002-05-20,29.51388888888889
Cerro Navia,2002-05-21,23.375
Cerro Navia,2002-06-20,62.08730158730159
Cerro Navia,2002-06-21,74.625
